English,German,French,Portuguese,Spanish,Polish,Catalan,Russian,Greek,Georgian,Finnish,Albanian,Arabic
House,Haus,Maison,Casa,Casa,dom,Casa,Dom,spiti,Sakhli,talo,Shtëpi,beit
Mother,Mutter,Mère,Mãe,Madre,matka,Mare,Mat',mhtera,Deda,aiti,Mama,um
Human,Mensch,Humain,Humano,Humano,czlowiek,Humà,Chelovek,anthropos,Adamiani,ihminen,Njeri,insan
School,Schule,École,Escola,Colegio/ Escuela,szkola,Escola,Shkola,sxoleio,Skola,koulu,Shkoll,madrasah
Friendship,Freundschaft,Amitié,Amizade,Amistad,przyjacielstwo,Amistat,Drujba,filia,Megobroba,ystavyys,Shoqëri,sadaqah
Computer,Computer,Ordinateur,Computador,Ordenador / Computadora,komputer,Ordinador,Komputer,upologistis,Kompiuteri,tietokone,Kompjuter,hasub
Cards,Karten,Cartes,Cartas,Cartas,karty,Cartes,Karti,karta,Kartebi,kortti,Karta,kurut
Class,Raum,Classe,Aula,Clase,klasa,Classe,Klass,taxi,Klasi,luokka,Klas,saf
Dog,Hund,Chien,Cachorro,Perro,pies,Gos,Sobaka,skulos,Dzagli,koira,Qen,kalb
Weather,Wetter,Météo,Tempo,Tiempo/ Clima,pogoda,Temps,Pogoda,kairos,Amindi,keli,Mot,jau
Language,Sprache,Langue,Língua,Idioma,jezyk,Llengua,Yazyik,glossa,Ena,kieli,Gjuhë,lughah
Parrot,Papagei,Perroquet,Papagaio,Loro,papuga,Lloro,Papugai,papagalos,Tutiyushi,papukaija,Papagall,babagha
Pirate,Pirat,Pirate,Pirata,Pirata,pirat,Pirata,Pirat,peiratis,Pirati,merirosvo,Pirat,qursan
Glory,Pracht,Gloire,Glória,Gloria,slawa,Glòria,Slava,doxa,Dideba,kunnia,Lavdi,majd
Judge (Person),Richter,Juge,Juiz,Juez,sedzia,Judge,Sudyia,dikastis,Mosamartle,tuomari,Gjykatës,hakam
God,Gott,Dieu,Deus,Dios,bog,Deu,Bog,theos,Ghmerti,jumala,Zoti,allah
Great,Ausgezeichnet/ Toll,Super,Ótimo,Genial,wielki,Genial,Veliki,exairetikos,Kargi,suuri,E madhe,athim
Helicopter,Hubschrauber,Hélicoptère,Helicóptero,Helicóptero,helikopter,Helicòpter,Vertolyiet,elikoptero,Vertmpreni,helikopteri,Helikopter,helikopter
Water,Wasser,Eau,Água,Agua,woda,Aigua,Voda,nero,Wyali,vesi,Uij,miyah
World,Welt,Monde,Mundo,Mundo / Planeta,swiat,Món,Mir,kosmos,Samyaro,maailma,Bot,alam
Homeland,Heimatland,Patire,Pátria,Patria,ojczyzna,Pàtria,Rodina,patrida,Samshoblo,isanmaa,Atëdheu,balad
Kindness,Freundlichkeit,Gentillesse,Gentileza,Amabilidad,dobroczynnosc,Amabilitat,Dobrota,kalosini,Sikete,hyvantekevaisyys,Mirësi,lutf
Elephant,Elefant,Éléphant,Elefante,Elefante,slon,Elefant,Slon,elephantas,Spilo,norsu,Elefant,fil
Food,Essen,Nourriture,Comida,Comida,jedzenie,Menjar,Eda,fagito,Sachmeli,ruoka,Ushqim,akl
Claw,Kralle,Griffe,Garra,Garra,pazura,Urpa,Kogot',dagkana,Brtchyali,kynsi,Ktheter,mikhlab
Coffee,Kaffee,Café,Café,Café,kawa,Cafè,Kofe,kafes,Yava,kahvi,Kafe,qahwah
